Title,Price_Text,Price_Numeric,Location,Bedrooms,Bathrooms,Area_Size,Area_Unit,Area_Sqft
ONE Kanal FULL BASMENT FULL FURNISHED Modern Design Bungalow For Sale At Prime Location,25 Crore,250000000.0,"DHA Phase 6 - Block C, DHA Phase 6",6.0,7.0,1.1,Kanal,5989.500000000001
Owner Needy Sale This House Going To Abroad 1 Kanal Top Quality Build Luxurious Beautiful MODREN Design Villa With Basement For Sale In DHA Lahore Phase 6,8.75 Crore,87500000.0,"DHA Phase 6 - Block C, DHA Phase 6",5.0,6.0,1.2,Kanal,6534.0
1 Kanal Brand New Bungalow Top Class Location Facing Park And Close To Dha Raya Golf Course,6.98 Crore,69800000.0,"DHA Phase 7, DHA Defence",5.0,6.0,1.0,Kanal,5445.0
100% Original Ad 1 Kanal Luxury Fully Furnished 5 Bed Villa For Sale In DHA Phase 6 Block J,20 Crore,200000000.0,"DHA Phase 6 - Block J, DHA Phase 6",5.0,6.0,1.0,Kanal,5445.0
10 Marla House In Only Rs. 60000000,6 Crore,60000000.0,"Etihad Town Phase 1 - Block D, Etihad Town Phase 1",6.0,6.0,10.0,Marla,2722.5
1 KANAL DESIGNER HOUSE FOR SALE IN OVERSEAS A BLOCK BAHRIA TOWN LAHORE,9 Crore,90000000.0,"Bahria Town - Overseas A, Bahria Town - Overseas Enclave",5.0,6.0,1.0,Kanal,5445.0
A PRIME LOCATION 1 KANAL HOUSE FOR SALE IN GULBAHAR BLOCK SECTOR C BAHRIA TOWN LAHORE,7.5 Crore,75000000.0,"Bahria Town - Gulbahar Block, Bahria Town - Sector C",5.0,6.0,1.0,Kanal,5445.0
10 Marla Full House Brand New Available For Sale,5.5 Crore,55000000.0,"DHA Phase 8 - Ex Air Avenue, DHA Phase 8",4.0,6.0,10.0,Marla,2722.5
1 Kanal Full House Available For Sale,7.5 Crore,75000000.0,"DHA Phase 8 - Ex Air Avenue, DHA Phase 8",7.0,7.0,1.0,Kanal,5445.0
Beautiful Design Bungalow For Sale In PUNJAB UNIVERSITY HOUSING LAHORE GOOD LOCATION,8.5 Crore,85000000.0,"Punjab University Employees Society, Lahore",4.0,5.0,18.0,Marla,4900.5
DHA 5 Marla Beautiful House Direct Approach From 50,2.49 Crore,24900000.000000004,"DHA 9 Town - Block C, DHA 9 Town",3.0,4.0,5.0,Marla,1361.25
House Of 10 Marla Is Available In Contemporary Neighborhood Of DHA Defence,6.75 Crore,67500000.0,"DHA Phase 6, DHA Defence",4.0,5.0,10.0,Marla,2722.5
ONE KANAL MODERN FULLY RVT FURNISHED DREAM HOUSE WITH 15 KW SOLAR NEAR TO MACDONALDS,7.49 Crore,74900000.0,"DHA Phase 3 - Block X, DHA Phase 3",5.0,6.0,1.0,Kanal,5445.0
41 MARLA LOOK LIKE A BRAND NEW BUNGALOW FOR SALE WITH FULL BASEMENT POOL GYM & CINEMA FULL ROOFTOP,26.99 Crore,269900000.0,"DHA Phase 5, DHA Defence",6.0,7.0,2.1,Kanal,11434.5
Fully Furnished Slightly Used Bungalow For Sale,2.25 Crore,22500000.0,"DHA 9 Town - Block A, DHA 9 Town",3.0,4.0,5.0,Marla,1361.25
12 Marla Zamin House with Gas For Sale in Lake City Sector M-1,3.95 Crore,39500000.0,"Lake City, Raiwind Road",3.0,4.0,12.0,Marla,3267.0
4 Marla Brand New | Double Story | House Avail For Sale,1.6 Crore,16000000.0,"Lahore Medical Housing Society, Lahore",4.0,4.0,4.0,Marla,1089.0
5 Marla House For Sale In Metro City Gt Road Lahore,1.05 Crore,10500000.0,"Metro City, GT Road",4.0,5.0,5.0,Marla,1361.25
Near To Mosque & Park 5.25 Marla Brand New House For Sale In Lake City Raiwind Road Lahore,3.1 Crore,31000000.0,"Lake City, Raiwind Road",4.0,6.0,5.0,Marla,1361.25
Park Facing 5 Marla Brand New House For Sale In Lake City Raiwind Road Lahore,2.7 Crore,27000000.0,"Lake City, Raiwind Road",4.0,5.0,5.0,Marla,1361.25
Kanal Owner Built Bungalow DHA Phase 5,9.5 Crore,95000000.0,"DHA Phase 5, DHA Defence",5.0,6.0,1.0,Kanal,5445.0
